# Generated by PyFunceble (v4.4.1.dev) / https://pyfunceble.github.io
# Date of generation: 2026-01-31T08:41:03.192809+00:00

Registrar                      Percentage   Amount      
------------------------------ ------------ ------------
Cloudflare, Inc.               20%          2           
Domainbox Limited              20%          2           
GoDaddy.com, LLC               20%          2           
NameCheap, Inc.                20%          2           
RU-CENTER-RU                   20%          2           
Cloudflare, Inc.               20%          2           
Domainbox Limited              20%          2           
GoDaddy.com, LLC               20%          2           
NameCheap, Inc.                20%          2           
RU-CENTER-RU                   20%          2           
